Head,Relation,Tail,Text,Label
proton pump inhibitors,increase,risk of severe clinical outcomes,korean study of 132 000 people shows that current use of proton pump inhibitors may lead to 79 % greater risk of severe clinical outcomes of covid-19,Cause-Effect
research,identifies,vulnerability in sars-cov-2,research exposes new vulnerability in sars-cov-2,Discovery-Validation
low vitamin k status,predicts,mortality,low vitamin k status predicts mortality in a cohort of 138 hospitalized patients with covid-19.,Predicts
spike mutation pipeline,shows,more transmissible form of sars-cov-2,spike mutation pipeline reveals the emergence of a more transmissible form of sars-cov-2,Discovery-Validation
remdesivir,inhibits,2019-ncov,remdesivir and chloroquine effectively inhibit the recently emerged 2019-ncov in vitro,Cause-Effect
chloroquine,inhibits,2019-ncov,remdesivir and chloroquine effectively inhibit the recently emerged 2019-ncov in vitro,Cause-Effect
facedrive health,develops,tracescan covid-19 contact tracing app,labourers ' international union of north america to partner with facedrive health on tracescan covid-19 contact tracing app,Research-Test
alcoholism treatment,affects,covid-19,alcoholism treatment is potentially effective against covid-19,Cause-Effect
wastewater,identifies,sars-cov-2 viral rna,increase in sars-cov-2 viral rna identified in wastewater 48 hours before covid-19 clinical tests and 96 hours before hospitalizations,Discovery-Validation
sars-cov-2 orf7a,identifies,81 base-pair deletion,an 81 base-pair deletion in sars-cov-2 orf7a identified from sentinel surveillance in arizona,Discovery-Validation
ace2 expression,causes,kidney and testis damage,ace2 expression in kidney and testis may cause kidney and testis damage after 2019-ncov infection,Cause-Effect
ethos labs,develops,covid-19 antibody test,ethos labs develops viral neutralization covid-19 antibody test to evaluate protective immunity,Research-Test
cell-based culture of sars-cov-2,shows,safe de-isolation assessments,cell-based culture of sars-cov-2 informs infectivity and safe de-isolation assessments during covid-19,Discovery-Validation
asymptomatic or minimally symptomatic cases,affects,case fatality rate,"if one assumes that the number of asymptomatic or minimally symptomatic cases is several times as high as the number of reported cases , the case fatality rate may be considerably less than 1 % .",Cause-Effect
fibrinolysis,affects,sars-cov-2 infection in ciliated cells,fibrinolysis influences sars-cov-2 infection in ciliated cells.,Cause-Effect
global partnership,provides,covid-19 rapid tests,"global partnership to make available 120 million affordable , quality covid-19 rapid tests for low- and middle-income countries",Provision-Support
fda,approves,first next generation sequence test for diagnosing covid-19,fda authorizes first next generation sequence test for diagnosing covid-19,Regulation
fda,approves,emergency use authorization for cellex qsars-cov-2 igg/igm rapid test,fda issued an emergency use authorization for cellex qsars-cov-2 igg/igm rapid test,Regulation
aging immunity,affects,covid-19,aging immunity may exacerbate covid-19,Cause-Effect
single-cell transcriptome,shows,dynamic change of macrophages during sars-cov-2 infection in ferrets,single-cell transcriptome of bronchoalveolar lavage fluid reveals dynamic change of macrophages during sars-cov-2 infection in ferrets,Discovery-Validation
sars-cov-2,infects,human gut enterocytes,sars-cov-2 productively infects human gut enterocytes,Transmit-Infect
hydroxychloroquine,inhibits,sars-cov-2 entry,hydroxychloroquine-mediated inhibition of sars-cov-2 entry is attenuated by tmprss2,Cause-Effect
multivalency,affects,sars-cov-2 antibodies into broad and ultrapotent neutralizers,multivalency transforms sars-cov-2 antibodies into broad and ultrapotent neutralizers,Cause-Effect
hundreds of people,isa,volunteer to be infected with coronavirus,hundreds of people volunteer to be infected with coronavirus,Others
human movement data,improves,epidemiological estimates for 2019-ncov,incorporating human movement data to improve epidemiological estimates for 2019-ncov,Cause-Effect
covid-19,causes,increase in delirium,"increase in delirium , rare brain inflammation and stroke linked to covid-19",Cause-Effect
covid-19,causes,rare brain inflammation,"increase in delirium , rare brain inflammation and stroke linked to covid-19",Cause-Effect
covid-19,causes,stroke,"increase in delirium , rare brain inflammation and stroke linked to covid-19",Cause-Effect
polymorphism in the n gene of sars-cov-2,affects,detection by a widely-used rt-pcr assay,identification of a polymorphism in the n gene of sars-cov-2 that adversely impacts detection by a widely-used rt-pcr assay,Cause-Effect
lowest oxygenation index timepoint in covid-19 patient,improves,lymphocytopenia,lymphocytopenia and neutrophilia deteriorate at the lowest oxygenation index timepoint in covid-19 patient,Cause-Effect
lowest oxygenation index timepoint in covid-19 patient,improves,neutrophilia,lymphocytopenia and neutrophilia deteriorate at the lowest oxygenation index timepoint in covid-19 patient,Cause-Effect
lateral flow devices,affects,detecting new covid-19 variant,rapid evaluation confirms lateral flow devices effective in detecting new covid-19 variant.,Cause-Effect
far-uvc light,affects,airborne human coronaviruses,far-uvc light efficiently and safely inactivates airborne human coronaviruses,Cause-Effect
low testosterone levels,predicts,clinical adverse outcomes in sars-cov-2 pneumonia patients,low testosterone levels predict clinical adverse outcomes in sars-cov-2 pneumonia patients,Predicts
high sars-cov-2 viral load,association,worse clinical outcome of covid-19 disease,high sars-cov-2 viral load is associated with a worse clinical outcome of covid-19 disease.,Association
atazanavir,inhibits,sars-cov-2 replication and pro-inflammatory cytokine production,atazanavir inhibits sars-cov-2 replication and pro-inflammatory cytokine production,Cause-Effect
greater social distancing,affects,covid-19,greater social distancing could curb covid-19 in 13 weeks,Cause-Effect
age-adjusted data from the outbreak on the diamond princess cruise ship,predicts,infection and case fatality ratio for coronavirus disease,"estimating the infection and case fatality ratio for coronavirus disease using age-adjusted data from the outbreak on the diamond princess cruise ship , february 2020",Predicts
metropolitan regions,increase,susceptibility to sars-cov-2,reduced susceptibility to sars-cov-2 in metropolitan regions,Cause-Effect
taiwan team,develops,antigen for wuhan coronavirus within 10 days,taiwan team develops antigen for wuhan coronavirus within 10 days,Research-Test
covid-19,related_to,inflammatory disorder,italian doctors find link between covid-19 and inflammatory disorder,Association
rutgers researchers,develops,emergency use authorization request for a saliva collection method for broader population covid-19 screening,rutgers researchers have developed and submitted an emergency use authorization request for a saliva collection method for broader population covid-19 screening .,Research-Test
metformin treatment,association,decreased mortality in covid-19 patients with diabetes,metformin treatment was associated with decreased mortality in covid-19 patients with diabetes in a retrospective analysis,Association
chadox1 ncov-19 vaccination,prevents,sars-cov-2 pneumonia in rhesus macaques,chadox1 ncov-19 vaccination prevents sars-cov-2 pneumonia in rhesus macaques,Cause-Effect
covid-19,causes,hyperactive phenotype in circulating platelets,covid-19 induces a hyperactive phenotype in circulating platelets,Cause-Effect
endemic human coronaviruses,causes,distinct antibody repertoires in adults and children,endemic human coronaviruses induce distinct antibody repertoires in adults and children,Cause-Effect
nih-moderna investigational covid-19 vaccine,shows,promise in mouse studies,nih-moderna investigational covid-19 vaccine shows promise in mouse studies,Discovery-Validation
dexamethasone,increase,"length of stay, icu admission in patients with pneumonia","dexamethasone reduces length of stay, icu admission in patients with pneumonia",Cause-Effect
eighty percent of coronavirus tests donated by china to czechs,isa,faulty,eighty percent of coronavirus tests donated by china to czechs are faulty,Others
circulating mitochondrial dna,shows,severe illness and mortality from covid-19,circulating mitochondrial dna is an early indicator of severe illness and mortality from covid-19,Discovery-Validation
hyperoxia,affects,gut microbiota,lung and gut microbiota are altered by hyperoxia and contribute to oxygen-induced lung injury in mice,Cause-Effect
gut microbiota,helps,oxygen-induced lung injury in mice,lung and gut microbiota are altered by hyperoxia and contribute to oxygen-induced lung injury in mice,Provision-Support
fda,approves,15-minute coronavirus test,fda authorizes 15-minute coronavirus test,Regulation
large-scale single-cell analysis,announces,critical immune characteristics of covid-19 patients,large-scale single-cell analysis reveals critical immune characteristics of covid-19 patients,Discovery-Validation
vitamin d insufficiency,causes,severe covid-19,vitamin d insufficiency is prevalent in severe covid-19,Cause-Effect
a single immunization with spike-functionalized ferritin vaccines,causes,neutralizing antibody responses against sars-cov-2 in mice,a single immunization with spike-functionalized ferritin vaccines elicits neutralizing antibody responses against sars-cov-2 in mice.,Cause-Effect
covid-19 infection,causes,readily detectable morphological and inflammation-related phenotypic changes in peripheral blood monocytes,"covid-19 infection induces readily detectable morphological and inflammation-related phenotypic changes in peripheral blood monocytes , the severity of which correlate with patient outcome",Cause-Effect
scientists in the vektor state virology and biotechnology centre,develops,vaccine prototypes based on six different technological platforms,scientists in the vektor state virology and biotechnology centre in the city of novosibirsk have developed vaccine prototypes based on six different technological platforms',Research-Test
metabolic cofactor supplementation,causes,recovery in mild-to-moderate covid-19,combined metabolic cofactor supplementation accelerates recovery in mild-to-moderate covid-19,Cause-Effect
bacterial modification,affects,sars-cov-2 infectivity,bacterial modification of the host glycosaminoglycan heparan sulfate modulates sars-cov-2 infectivity,Cause-Effect
sars-cov-2 spike mutation d614g,increase,entry fitness across a range of ace2 levels,"the sars-cov-2 spike mutation d614g increases entry fitness across a range of ace2 levels , directly outcompetes the wild type , and is preferentially incorporated into trimers",Cause-Effect
bnt162b2 vaccine-elicited human sera,affects,sars-cov-2 lineage b.1.1.7 pseudovirus,neutralization of sars-cov-2 lineage b.1.1.7 pseudovirus by bnt162b2 vaccine-elicited human sera.,Cause-Effect
sars-cov-2,infects,dogs,two dogs tested positive of sars-cov-2 .,Transmit-Infect
collider bias,helps,our understanding of covid-19 disease risk and severity,collider bias undermines our understanding of covid-19 disease risk and severity,Provision-Support
potently neutralizing antibody,protects,mice against sars-cov-2 infection,a potently neutralizing antibody protects mice against sars-cov-2 infection,Treatment
virus evolution,affects,early covid-19 spread,virus evolution affected early covid-19 spread,Cause-Effect
average daily temperature,related_to,average cumulative daily rate of confirmed cases of covid-19,relationship between average daily temperature and average cumulative daily rate of confirmed cases of covid-19,Association
seroprevalence data,shows,infection fatality rate of covid-19,the infection fatality rate of covid-19 inferred from seroprevalence data,Discovery-Validation
uk,announces,first doses of covid-19 vaccination,uk rolls out first doses of covid-19 vaccination .,Discovery-Validation
unc researchers,develops,new type of accurate covid-19 antibody test,unc researchers create new type of accurate covid-19 antibody test,Research-Test
gilead data,shows,coronavirus patients are responding to treatment,gilead data suggests coronavirus patients are responding to treatment,Discovery-Validation
ancient coronavirus-like epidemic,causes,"adaptation in east asians from 25,000 to 5,000 years ago","an ancient coronavirus-like epidemic drove adaptation in east asians from 25,000 to 5,000 years ago",Cause-Effect
serological responses,shows,clinical outcomes of italian patients infected with sars-cov-2,serological responses to human virome define clinical outcomes of italian patients infected with sars-cov-2,Discovery-Validation
ultra-high affinity synthetic nanobody,prevents,sars-cov-2 infection,an ultra-high affinity synthetic nanobody blocks sars-cov-2 infection by locking spike into an inactive conformation,Cause-Effect
climate,affects,global patterns of covid-19 early outbreak dynamics,climate affects global patterns of covid-19 early outbreak dynamics,Cause-Effect
digestive symptoms,related_to,worse covid-19 outcomes,digestive symptoms tied to worse covid-19 outcomes,Association
clinical characteristics,association,neutralizing antibody levels,"evaluating the association of clinical characteristics with neutralizing antibody levels in patients who have recovered from mild covid-19 in shanghai , china",Association
social distancing,affects,covid-19,"social distancing = > 80 % of the population , covid-19 may be curbed 13 weeks , < = 70 % may not be curbed .",Cause-Effect
booster dose,increase,immunogenicity of the covid-19 vaccine candidate chadox1 ncov-19,a booster dose enhances immunogenicity of the covid-19 vaccine candidate chadox1 ncov-19 in aged mice,Cause-Effect
dexamethasone,affects,dysregulated host response,covid-19 ards is characterized by a dysregulated host response that differs from cytokine storm and may be modified by dexamethasone.,Cause-Effect
facebook,prevents,global marketing summit,facebook cancels global marketing summit over virus concerns,Cause-Effect
fda,announces,covid-19 treatment acceleration program,fda announces covid-19 treatment acceleration program,Discovery-Validation
coronavirus,causes,cardiovascular damage,"coronavirus might cause cardiovascular damage , and if it follows sars example it may lead to permanent cardiovascular damage",Cause-Effect
sars-cov-2 viral load,predicts,covid-19 mortality,sars-cov-2 viral load predicts covid-19 mortality,Predicts
sri lankan muslims,supports,end to covid-19 cremations,sri lankan muslims call for end to covid-19 cremations,Provision-Support
altered blood cell traits,causes,major genetic locus of severe covid-19,altered blood cell traits underlie a major genetic locus of severe covid-19,Cause-Effect
cheap tests,causes,safer reopening,"fast , cheap tests could enable safer reopening",Cause-Effect
persistent immune activation,causes,endothelial dysfunction,convalescent covid-19 patients are susceptible to endothelial dysfunction due to persistent immune activation,Cause-Effect
eli lilly,develops,up to one million doses of covid-19 antibody drug this year if allowed by fda,eli lilly can produce up to one million doses of covid-19 antibody drug this year if allowed by fda,Research-Test
sars-cov-2,infects,t helper lymphocytes,sars-cov-2 uses cd4 to infect t helper lymphocytes,Transmit-Infect
clinical phenotyping based on pathophysiology,treats,novel illness,clinical phenotyping based on pathophysiology as a promising approach to guide therapy in a novel illness,Treatment
detection of antibodies to the sars-cov-2 spike glycoprotein in both serum and saliva,increase,detection of infection,detection of antibodies to the sars-cov-2 spike glycoprotein in both serum and saliva enhances detection of infection,Cause-Effect
ivermectin exposure,causes,up-regulation of detoxification genes,ivermectin exposure leads to up-regulation of detoxification genes in vitro and in vivo in mice,Cause-Effect
remdesivir,treats,severe covid-19 patients,"a chicago hospital treating severe covid-19 patients with gilead sciences ' antiviral medication remdesivir is seeing recoveries in patients ' symptoms , stat news reports .",Treatment
gilead sciences,develops,remdesivir,"a chicago hospital treating severe covid-19 patients with gilead sciences ' antiviral medication remdesivir is seeing recoveries in patients ' symptoms , stat news reports .",Research-Test
remdesivir,isa,antiviral medication,"a chicago hospital treating severe covid-19 patients with gilead sciences ' antiviral medication remdesivir is seeing recoveries in patients ' symptoms , stat news reports .",Others
covid-19 pandemic,affects,horror fans,horror fans and morbidly curious individuals are more psychologically resilient during the covid-19 pandemic,Cause-Effect
covid-19 pandemic,affects,morbidly curious individuals,horror fans and morbidly curious individuals are more psychologically resilient during the covid-19 pandemic,Cause-Effect
classified chinese data,announces,a third of coronavirus cases may be silent carriers,"a third of coronavirus cases may be silent carriers , classified chinese data suggests",Discovery-Validation
prior infection by seasonal coronaviruses,prevents,sars-cov-2 infection,prior infection by seasonal coronaviruses does not prevent sars-cov-2 infection and associated multisystem inflammatory syndrome in children,Cause-Effect
sars-cov-2 infection,association,multisystem inflammatory syndrome in children,prior infection by seasonal coronaviruses does not prevent sars-cov-2 infection and associated multisystem inflammatory syndrome in children,Association
sars-cov-2 orf3b,isa,potent interferon antagonist,sars-cov-2 orf3b is a potent interferon antagonist whose activity is further increased by a naturally occurring elongation variant,Others
high temperature and high humidity,increase,transmission of covid-19,high temperature and high humidity reduce the transmission of covid-19,Cause-Effect
reductions in commuting mobility,predicts,geographic differences in sars-cov-2 prevalence in new york city,reductions in commuting mobility predict geographic differences in sars-cov-2 prevalence in new york city,Predicts
high-dose corticosteroid pulse therapy,increase,survival rate in covid-19 patients at risk of cytokine storm,high-dose corticosteroid pulse therapy increases the survival rate in covid-19 patients at risk of cytokine storm,Cause-Effect
high-quality masks,increase,infections,high-quality masks can reduce infections and deaths in the us,Cause-Effect
high-quality masks,increase,deaths,high-quality masks can reduce infections and deaths in the us,Cause-Effect
azithromycin and hydroxychloroquine,improves,recovery of outpatients with mild/moderate covid-19,azithromycin and hydroxychloroquine accelerate recovery of outpatients with mild/moderate covid-19,Cause-Effect
hydroxychloroquine,improves,recovery of outpatients with mild/moderate covid-19,azithromycin and hydroxychloroquine accelerate recovery of outpatients with mild/moderate covid-19,Cause-Effect
a single dose of chadox1 mers,provides,protective immunity in rhesus macaques,a single dose of chadox1 mers provides protective immunity in rhesus macaques,Provision-Support
cdc report on comorbidity,isa,good news,the recent cdc report on comorbidity is not good news or evidence of a hoax,Others
cdc report on comorbidity,isa,evidence of a hoax,the recent cdc report on comorbidity is not good news or evidence of a hoax,Others
emergence of zoonoses,shows,need for health sciences to embrace an explicit eco-social conceptual framework of health and disease,emergence of zoonoses such as covid-19 reveals the need for health sciences to embrace an explicit eco-social conceptual framework of health and disease,Discovery-Validation
covid-19,isa,zoonoses,emergence of zoonoses such as covid-19 reveals the need for health sciences to embrace an explicit eco-social conceptual framework of health and disease,Others
new blood tests for antibodies,shows,true scale of coronavirus pandemic,new blood tests for antibodies could show true scale of coronavirus pandemic,Discovery-Validation
biases in coronavirus mortality overestimation,affects,public health,public health lessons learned from biases in coronavirus mortality overestimation,Cause-Effect
closed environments,increase,secondary transmission of coronavirus disease 2019,closed environments facilitate secondary transmission of coronavirus disease 2019,Cause-Effect
t cell anergy in covid-19,shows,virus persistence,t cell anergy in covid-19 reflects virus persistence and poor outcomes,Discovery-Validation
t cell anergy in covid-19,shows,poor outcomes,t cell anergy in covid-19 reflects virus persistence and poor outcomes,Discovery-Validation
niaid-led study,studies,mrna vaccine,niaid-led study of mrna vaccine supports advance to phase 3 human trials,Research-Test
niaid-led study,supports,advance to phase 3 human trials,niaid-led study of mrna vaccine supports advance to phase 3 human trials,Provision-Support
herd immunity,isa,realistic exit strategy during a covid-19 outbreak,herd immunity is not a realistic exit strategy during a covid-19 outbreak,Others
bulletinniaid,stops,severely ill covid-19 participants in clinical trial of investigational treatments,bulletinniaid stops enrollment of severely ill covid-19 participants in clinical trial of investigational treatments,Cause-Effect
bulletinniaid,develops,clinical trial of investigational treatments,bulletinniaid stops enrollment of severely ill covid-19 participants in clinical trial of investigational treatments,Research-Test
neuropilin-1,increase,sars-cov-2 cell entry,neuropilin-1 facilitates sars-cov-2 cell entry and infectivity,Cause-Effect
quercetin and its metabolites,inhibits,recombinant human angiotensin-converting enzyme 2 activity,quercetin and its metabolites inhibit recombinant human angiotensin-converting enzyme 2 activity,Cause-Effect
pre-emptive low cost social distancing,increase,number and severity of cases,pre-emptive low cost social distancing and enhanced hygiene implemented before local covid-19 transmission could decrease the number and severity of cases.,Cause-Effect
enhanced hygiene implemented before local covid-19 transmission,increase,number and severity of cases,pre-emptive low cost social distancing and enhanced hygiene implemented before local covid-19 transmission could decrease the number and severity of cases.,Cause-Effect
lockdown related travel behavior,helps,containment of sars-cov-2,lockdown related travel behavior undermines the containment of sars-cov-2,Provision-Support
who official,announces,coronavirus spread by people with no symptoms 'appears to be rare,"coronavirus spread by people with no symptoms 'appears to be rare,' who official says",Discovery-Validation
plant lectins,inhibits,coronaviruses,plant lectins are potent inhibitors of coronaviruses by interfering with two targets in the viral replication cycle,Cause-Effect
woolworths,announces,elderly and disabled-only shopping hour,woolworths to hold elderly and disabled-only shopping hour,Discovery-Validation
tb vaccine,prevents,covid-19,map suggests tb vaccine may help prevent covid-19,Cause-Effect
hcq + zinc,increase,mortality by 50%,hcq + zinc reduces mortality by 50% in retrospective study at nyu,Cause-Effect
retrospective study at nyu,announces,hcq + zinc reduces mortality by 50%,hcq + zinc reduces mortality by 50% in retrospective study at nyu,Discovery-Validation
closed environments,increase,secondary transmission of covid-19,closed environments facilitate secondary transmission of covid-19,Cause-Effect
cansino bio,develops,covid-19 vaccine,china 's cansino bio advances covid-19 vaccine into phase 2 on preliminary safety data,Research-Test
sars-cov-2,infects,human cardiomyocytes,sars-cov-2 infects and induces cytotoxic effects in human cardiomyocytes,Transmit-Infect
sars-cov-2,causes,cytotoxic effects,sars-cov-2 infects and induces cytotoxic effects in human cardiomyocytes,Cause-Effect
county of santa clara,identifies,three additional early covid-19 deaths,county of santa clara identifies three additional early covid-19 deaths,Discovery-Validation
the university of liverpool,develops,online database,the university of liverpool has developed an online database for checking drug-drug interactions with the experimental covid-19 specific medicinal products,Research-Test
drug-drug interactions,related_to,experimental covid-19 specific medicinal products,the university of liverpool has developed an online database for checking drug-drug interactions with the experimental covid-19 specific medicinal products,Association
active or latent tuberculosis,increase,susceptibility to covid-19,active or latent tuberculosis increases susceptibility to covid-19 and disease severity,Cause-Effect
active or latent tuberculosis,increase,disease severity,active or latent tuberculosis increases susceptibility to covid-19 and disease severity,Cause-Effect
trump,announces,national emergency,trump to declare national emergency on coronavirus to speed aid,Discovery-Validation
national emergency,related_to,coronavirus,trump to declare national emergency on coronavirus to speed aid,Association
mass group pool testing,helps,early detection,early detection of superspreaders by mass group pool testing can mitigate covid-19 pandemic,Provision-Support
broadly-targeted autoreactivity,isa,common,broadly-targeted autoreactivity is common in severe sars-cov-2 infection,Others
common,related_to,severe sars-cov-2 infection,broadly-targeted autoreactivity is common in severe sars-cov-2 infection,Association
not an answer,related_to,pandemic,herd immunity is not an answer to a pandemic,Association
lacking,related_to,vitamin d,evidence is lacking to support vitamin d 's role in treatment and prevention.,Association
likely match,related_to,all currently circulating strains,a sars-cov-2 vaccine candidate would likely match all currently circulating strains,Association
personalized therapy approach,treats,covid-19,personalized therapy approach for hospitalized patients with covid-19,Treatment
cor-101,shows,high efficacy,human sars-cov-2 neutralizing antibody cor-101 demonstrates high efficacy in a covid-19 animal model and is ready to be used in clinical studies to treat covid-19 patients.,Discovery-Validation
high efficacy,related_to,covid-19 animal model,human sars-cov-2 neutralizing antibody cor-101 demonstrates high efficacy in a covid-19 animal model and is ready to be used in clinical studies to treat covid-19 patients.,Association
clinical studies,treats,covid-19 patients,human sars-cov-2 neutralizing antibody cor-101 demonstrates high efficacy in a covid-19 animal model and is ready to be used in clinical studies to treat covid-19 patients.,Treatment
disease-induced herd immunity level,related_to,covid-19,the disease-induced herd immunity level for covid-19 is substantially lower than the classical herd immunity level,Association
decline,related_to,florida,covid-19 case mortality rates continue to decline in florida,Association
poop tests,stops,covid-19 outbreak,poop tests stop covid-19 outbreak at university of arizona,Cause-Effect
covid-19 outbreak,related_to,university of arizona,poop tests stop covid-19 outbreak at university of arizona,Association
poor outcomes,related_to,sars-cov-2,"a repurposed , blood gene signature is associated with poor outcomes in sars-cov-2",Association
b cells,protects,covid-19,b cells and t cells mediate immunity to covid-19,Treatment
t cells,protects,covid-19,b cells and t cells mediate immunity to covid-19,Treatment
large numbers,related_to,health care and frontline workers,large numbers of health care and frontline workers are refusing covid-19 vaccine.,Association
potential therapy,related_to,covid-19,widely available lysosome targeting agents should be considered as a potential therapy for covid-19,Association
blood group o,association,lower risk,epidemiological analysis of an outbreak in hong kong revealed that blood group o was associated with a lower risk of sars-cov-2 infection .,Association
lower risk,related_to,sars-cov-2 infection,epidemiological analysis of an outbreak in hong kong revealed that blood group o was associated with a lower risk of sars-cov-2 infection .,Association
coronavirus hemagglutinin-esterase and spike proteins coevolve,causes,functional balance and optimal virion avidity,coronavirus hemagglutinin-esterase and spike proteins coevolve for functional balance and optimal virion avidity,Cause-Effect
cytotoxic lymphocytes,isa,dysregulated in multisystem inflammatory syndrome in children,cytotoxic lymphocytes are dysregulated in multisystem inflammatory syndrome in children,Others
testing,stops,spread of covid-19,population-scale testing can suppress the spread of covid-19,Cause-Effect
innate immunity,improves,covid-19 disease,harnessing innate immunity to eliminate sars-cov-2 and ameliorate covid-19 disease,Cause-Effect
behavioral changes,helps,control of the covid-19 epidemic,"behavioral changes before lockdown , and decreased retail and recreation mobility during lockdown , contributed most to the successful control of the covid-19 epidemic in 35 western countries",Provision-Support
lockdown,supports,control of the covid-19 epidemic,"behavioral changes before lockdown , and decreased retail and recreation mobility during lockdown , contributed most to the successful control of the covid-19 epidemic in 35 western countries",Provision-Support
blood pressure medication,improves,covid-19 survival rates,blood pressure medication improves covid-19 survival rates,Cause-Effect
wearing masks,prevents,infection,"in 2017 , the cdc already knew there were evidences that healthy people wearing masks may prevent from getting infection",Cause-Effect
household data,assesses,susceptibility and infectivity of children,"using household data from bnei brak , israel , to estimate the relative susceptibility and infectivity of children",Research-Test
zinc finger antiviral protein,inhibits,sars-cov-2,the zinc finger antiviral protein restricts sars-cov-2,Cause-Effect
sars-cov-2,isa,strain,"there is one , and only one strain of sars-cov-2",Others
convalescent plasma,treats,covid-19 patients,treatment of covid-19 patients with convalescent plasma reveals a signal of significantly decreased mortality,Treatment
convalescent plasma,improves,mortality,treatment of covid-19 patients with convalescent plasma reveals a signal of significantly decreased mortality,Cause-Effect
placentas from covid-19-positive pregnant women,shows,injury,placentas from covid-19-positive pregnant women show injury,Discovery-Validation
severe covid-19 infection,increase,antibody-mediated platelet apoptosis,severe covid-19 infection is associated with increased antibody-mediated platelet apoptosis,Cause-Effect
pfizer and biontech,announces,emergency use authorization request,pfizer and biontech to submit emergency use authorization request today to the u.s. fda for covid-19 vaccine,Discovery-Validation
covid-19 vaccine,approves,u.s. fda,pfizer and biontech to submit emergency use authorization request today to the u.s. fda for covid-19 vaccine,Regulation
ema,approves,first covid-19 vaccine,ema recommends first covid-19 vaccine for authorisation in the eu.,Regulation
immunization records,studies,decreased sars-cov-2 rates,exploratory analysis of immunization records highlights decreased sars-cov-2 rates in individuals with recent non-covid-19 vaccinations,Research-Test
non-covid-19 vaccinations,protects,individuals,exploratory analysis of immunization records highlights decreased sars-cov-2 rates in individuals with recent non-covid-19 vaccinations,Treatment
face masks,increase,covid 'dose ',confronting the notion that face masks reduce covid 'dose ',Cause-Effect
cellular immunity,affects,sars-cov-2,impaired cellular immunity to sars-cov-2 in severe covid-19 patients,Cause-Effect
sars-cov-2,causes,pneumonia,platelets promote thromboinflammation in sars-cov-2 pneumonia,Cause-Effect
convalescent serum,increase,severity of covid-19,use of convalescent serum reduces severity of covid-19 in nonhuman primates,Cause-Effect
influenza a virus,causes,more severe disease,sequential infection with influenza a virus followed by severe acute respiratory syndrome coronavirus 2 leads to more severe disease and encephalitis in a mouse model of covid-19 .,Cause-Effect
mouse model,studies,covid-19,sequential infection with influenza a virus followed by severe acute respiratory syndrome coronavirus 2 leads to more severe disease and encephalitis in a mouse model of covid-19 .,Research-Test
covid-19,affects,b cells,"covid-19 makes b cells forget , but t cells remember",Cause-Effect
covid-19,affects,t cells,"covid-19 makes b cells forget , but t cells remember",Cause-Effect
national mask mandate,helps,u.s. economy $ 1 trillion,"a national mask mandate could save the u.s. economy $ 1 trillion , goldman sachs says",Provision-Support
sars-cov-2,inhibits,jak-stat pathway,sars-cov-2 desensitizes host cells to interferon through inhibition of the jak-stat pathway,Cause-Effect
heat shock protein 70,related_to,thermal inhibition,heat shock protein 70 is related to thermal inhibition of nuclear export of the influenza virus ribonucleoprotein complex .,Association
imbalanced host response,causes,development of covid-19,imbalanced host response to sars-cov-2 drives development of covid-19,Cause-Effect
brilacidin,isa,covid-19 drug candidate,"brilacidin , a covid-19 drug candidate , exhibits potent in vitro antiviral activity against sars-cov-2",Others
ct,provides,best diagnosis for covid-19,ct provides best diagnosis for covid-19,Provision-Support
rlf-100 clinical trial,improves,respiratory failure,rlf-100 clinical trial showed rapid recovery from respiratory failure and inhibition of coronavirus replication in human lung cells,Cause-Effect
rlf-100 clinical trial,inhibits,coronavirus replication,rlf-100 clinical trial showed rapid recovery from respiratory failure and inhibition of coronavirus replication in human lung cells,Cause-Effect
erythrocytes,shows,complement activation in patients with covid-19,erythrocytes reveal complement activation in patients with covid-19,Discovery-Validation
coronavirus,transmits,pangolins,"the missing link in coronavirus jump from bats to humans could be pangolins , not snakes",Transmit-Infect
coronavirus,transmits,humans,"the missing link in coronavirus jump from bats to humans could be pangolins , not snakes",Transmit-Infect
coronavirus,transmits,bats,"the missing link in coronavirus jump from bats to humans could be pangolins , not snakes",Transmit-Infect
coronavirus,transmits,snakes,"the missing link in coronavirus jump from bats to humans could be pangolins , not snakes",Transmit-Infect
sleep,improves,immunological memory,sleep after vaccination boosts immunological memory.,Cause-Effect
recombinant subunit vaccine,protects,hamsters,sterilizing immunity against sars-cov-2 in hamsters conferred by a novel recombinant subunit vaccine.,Treatment
immunity,isa,sterilizing immunity,sterilizing immunity against sars-cov-2 in hamsters conferred by a novel recombinant subunit vaccine.,Others
johnson & johnson,announces,phase 3 covid-19 vaccine trial,johnson & johnson announces its first phase 3 covid-19 vaccine trial ensemble is fully enrolled.,Discovery-Validation
covid-19,transmits,aerosols,covid-19 is transmitted through aerosols .,Transmit-Infect
covid19,isa,seasonal climate-driven disease,covid19 is a seasonal climate-driven disease across both hemispheres.,Others
ruxolitinib,increase,acute respiratory distress syndrome,ruxolitinib rapidly reduces acute respiratory distress syndrome in covid-19 disease .,Cause-Effect
lenzilumab,treats,covid-19 pneumonia,first clinical use of lenzilumab to neutralize gm-csf in patients with severe and critical covid-19 pneumonia,Treatment
sars-related terms,increase,chinese social media,preprint finds increase in sars-related terms on chinese social media two weeks before first known covid19 case,Cause-Effect
